TIPO_NOM,CLV_DIP,NOM_DIP,PERC_DED,GRAV_NG,GRAV_LOC,GRAV_EST,TOPE_NG,INCIDENCIA,CLV_SALDO,SEC_CALC,TOPE_CLV,TOPE_CANT,TOPE_TIPO,VAL_PAR1_TIPO,VAL_PAR1_DESDE,VAL_PAR1_HASTA,VAL_PAR1_DEC,VAL_PAR1_DEF,VAL_PAR2_TIPO,VAL_PAR2_DESDE,VAL_PAR2_HASTA,VAL_PAR2_DEC,VAL_PAR2_DEF,VAL_PAR3_TIPO,VAL_PAR3_DESDE,VAL_PAR3_HASTA,REDONDEO_IMP,REDONDEO_DATO,FORMULA,FORMULA_PRES,FORMULA_FINI,FORMULA_AVANZADA,IMPRIMIR,APLICA_PENSION,BANDERA_FORMULA,BANDERA_NIVEL,DESC_RECIBOS,DIP_SALDOS,SUMA_RESTA_SALDOS,TRANSACCIONES
@,@ILI,IMPUESTO LISR ART 79 FINIQUITO Y LIQ.,D,NI,0,0,0,1,0,931,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,,,,0,0,0,0,,,,,
@,RTRD,MIN. DE RETARDO EN EL PERIODO,X,NI,1,0,0,1,0,610,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,Importe = PARM1ûDato = PARM2,,,0,1,0,1,,,,,
@,FAHE,FONDO DE AHORRO EMPLEADO,D,NI,0,0,0,1,0,101,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,"ûIF TIPO_NOM=""FQ"" AND PARM1>0 AND PARM2=1 THENûIMPORTE=PARM1ûRETURNûENDûIF TIPO_NOM=""FQ"" THEN RETURNûûImporte = DIPM(""FAHC"",""IM"")ûDato = DIPM(""FAHC"",""DA"")",,,1,1,0,1,,,,,
@,PRSO,PREVISION SOCIAL,P,GN,0,0,0,0,0,408,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"DECLARE FUNCTION DIPA, TRAEDIPûûTOT.PS=0; SAL.DIA.ANUAL8=0; SAL.DIA.ANUAL7=0; EXENT=0; GRAV=0; SAL.DIA.MES=0ûûZONA.ECO=REG_EMP<AN_EMP.ZONA_EC%>ûCALL IO_READ(R.ZONA,""AN_TAB_ZONEC"","""",ZONA.ECO,"""",1,STATUS)ûLOCATE ""20040101"" IN R.ZONA<2> USING @VM SETTING POS THENû SAL.DIA.ANUAL8=R.ZONA<3,POS> / 100 *30.4 * 12 *8û SAL.DIA.ANUAL7=R.ZONA<3,POS> / 100 *30.4* 12 * 7û SAL.DIA.MES=R.ZONA<3,POS> / 100 *30.4 * 12ûENDûû*""PS01..PS03"" es la clave de Prevision Social en el Catalogo MaestroûFOR I = 1 TO 3û  LLAVE = ""PS0"":Iû  CALL IO_READ(R.CM,""AN_CATALOGOS"","""",LLAVE,"""",1,STATUS)û  A.DIPS=R.CM<2>û  FOR J=1 TO COUNT(A.DIPS<1>,@VM)+1û DIP.PS=A.DIPS<1,J>û IF DIP.PS NE """" THENû  R.DIP=TRAEDIP(DIP.PS,""@"")û  TIPO.DIP=R.DIP<3>û  IF TIPO.DIP=""NI"" THENû   IMP.PS=0û   SR.PS=R.CM<4,J>û   IMP.PS= DIPA(DIP.PS, ""IM"",EJ_FISCAL%, EJ_FISCAL%)û   IF SR.PS= ""-""  THEN û    TOT.PS = TOT.PS - IMP.PSû   END ELSEû    TOT.PS = TOT.PS + IMP.PSû   ENDû  ENDû END û  NEXT JûNEXT I ûTPG=DIPA(""@TPG"", ""IM"",EJ_FISCAL%, EJ_FISCAL%) + DIPA(""@PGE"", ""IM"",EJ_FISCAL%, EJ_FISCAL%)ûTOTAL=TOT.PS + TPGûûIF TOTAL < SAL.DIA.ANUAL7 THENû IMP_EXE=TOT.PSû IMP_GRAV=0ûûEND ELSEû IF TOTAL > SAL.DIA.ANUAL8 THEN û  IMP_EXE=SAL.DIA.MESû  IMP_GRAV=TOT.PS - SAL.DIA.MESû  û END ELSEû  DIF=SAL.DIA.ANUAL7 - TPGû  IF DIF <= SAL.DIA.MES THENû   IMP_EXE=SAL.DIA.MESû   IMP_GRAV=TOTAL - SAL.DIA.ANUAL7û   û  END ELSEû   IMP_GRAV=TOTAL - SAL.DIA.ANUAL7û   IMP_EXE=TOT.PS - IMP_GRAVû   û  ENDû ENDûENDûIF IMP_EXE < 0 THEN IMP_EXE=0 ûIF IMP_GRAV < 0 THEN IMP_GRAV=0 ûIMPORTE = IMP_EXE + IMP_GRAVû",,,1,1,0,1,,,,,
@,@CSC,CREDITO AL SALARIO,X,NI,0,0,0,1,0,970,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,,Importe =  @SDI * @DA1,,0,0,0,0,,,,,
@,@PVA,PRIMA VACACIONAL ANIV,P,EN,1,1,15,1,0,35,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,"$INSERT AN_TAB_VACû$INSERT AN_DIPSû$INSERT AN_TIPOSûCOMMON /CALCULO_VARIO/ REG.VAC, REG.GRA, ANTIG_EMPûûIF TIPO_NOM = ""FQ"" THEN RETURNûû**************ûPROCESO:û**************û GOSUB GET_SALARIOû û IF PARM1+0 <> 0 AND PARM2+0 <> 0 THENû  DIAS_PVA= PARM1û  PORC_PVA= PARM2û END ELSEû  GOSUB GET_DATOS_PVAû  û  IF PARM1+0 <> 0 THEN DIAS_PVA= PARM1û  IF PARM2+0 <> 0 THEN PORC_PVA= PARM2û ENDû û IMPORTE= (DIAS_PVA * PORC_PVA / 100) * SALARIOû DATO= DIAS_PVAû û GOSUB EXENCIONûRETURNûû************ûGET_SALARIO:û************û SALARIO= DIPC(""@GRA"",""P2"")+0û IF SALARIO = 0 THEN SALARIO= SDI@ûRETURNûû**************ûGET_DATOS_PVA:û**************û DIAS_PVA= 0û PORC_PVA= 0û û IF PARM31 NE """" THENû  F_INGRESO_INT= FECHA(PARM31,1,""AAAAMMDD"")û  F_INGRESO_EXT= FECHA(F_INGRESO_INT,2,""AAAAMMDD"")û END ELSEû  F_INGRESO_EXT=REG_EMP<AN_EMP.F_INGRESO%>û  IF F_INGRESO_EXT EQ """" THEN F_INGRESO_EXT=REG_EMP<AN_EMP.F_ALTA%>û  F_INGRESO_INT= FECHA(F_INGRESO_EXT,1,""AAAAMMDD"")û ENDû û /*û F_BAJA_INT= PARM32û IF F_BAJA_INT <> """" THENû  F_ANIV_EXT= EJ_FISCAL%:F_INGRESO_EXT[5,2]:F_INGRESO_EXT[7,2]û  F_ANIV_INT= FECHA(F_ANIV_EXT,1,""AAAAMMDD"")û  û  IF F_BAJA_INT < F_ANIV_INT THEN RETURNû ENDû */û û IF PARM32 <> """" THENû  *finiquitoû  FHASTA_INT= FECHA(PARM32,1,""AAAAMMDD"")û END ELSEû  *nomina normal (aniversario)û  FHASTA_INT= FTERPERû ENDû û ANOS = ANTIGUEDAD(F_INGRESO_INT,FHASTA_INT)û IF PARM4 = ""Finiquito"" THEN ANOS+= 1û û LOCATE ANOS IN REG.VAC<AN_TAB_VAC.ANOS%> BY ""AR"" USING @VM SETTING PP ELSE PP-=1û IF PP LE 0 THEN PP= 1û DIAS_PVA= REG.VAC<AN_TAB_VAC.DIAS_SOBRE%,PP>û PORC_PVA= REG.VAC<AN_TAB_VAC.PRIMA%,PP>ûRETURNûû*********ûEXENCION:û*********û IF IMPORTE EQ 0 OR IMPORTE EQ """" THEN RETURNû û TOPE.NG= REG_DIP<AN_DIPS.TOPE_NG%> * SAL_MINû û EXENTO.PRIMA= DIPA(""@PVA"",""EF"",EJ_FISCAL%,EJ_FISCAL%)û EXENTO.PRIMA+= DIPA(""PVPV"",""EF"",EJ_FISCAL%,EJ_FISCAL%)û EXENTO.PRIMA+= DIPA(""PVAF"",""EF"",EJ_FISCAL%,EJ_FISCAL%)û û IF EXENTO.PRIMA GE TOPE.NG THENû  IMP_GRAV= IMPORTEû END ELSEû  IF ( EXENTO.PRIMA + IMPORTE ) > TOPE.NG THENû   IMP_EXE  = TOPE.NG - EXENTO.PRIMAû   IMP_GRAV = IMPORTE - IMP_EXEû  END ELSE û   IMP_EXE  = IMPORTEû   IMP_GRAV = 0û  ENDû ENDûRETURN",Importe =  @SDI / 8 * @DA1 * 2,,1,1,0,1,,,,,
@,PGRA,PROVISION GRATIFICACION 3 MESES,E,NI,0,0,0,0,0,305,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"* Por calculo actuarial se calcula el porcentaje mensual a provisionar, en este ejemplo es el 1 %   û  SALARIO = SDI@ * .01û    IMPORTE       = SALARIO * DIAS_PERû    DATO             = .01 û",,,1,1,0,1,,,,,
@,PPTU,PROVISION PTU,E,NI,0,0,0,0,0,260,N,,,O,0,0,0,0,O,0,0,0,0,O,,,0,0,"* Se estiman los dias de salario a pagar , es esta formula por ejemplo son 45ûDIAS.DER = 45û    SALARIO = SDI@û    IMPORTE       = SALARIO * DIAS.DER / 365 * DIAS_PERû    DATO             = DIAS_PER û",,,1,0,0,1,,,,,
@,@SEP,EXCESO DE SUBSIDIO AL EMPLEO,P,GN,0,0,0,1,0,971,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,,,,0,1,0,0,,,,,
@,@ISP,I.S.R. A RETENER,D,NI,0,0,0,0,0,680,N,,,O,0,0,1,0,O,0,0,1,0,O,,,0,0,,,,0,1,0,0,,,,,
